# PSI-Tri q-profile "Psi, q"
  2.000E-02  1.778E+00
  4.000E-02  1.792E+00
  6.000E-02  1.805E+00
  8.000E-02  1.820E+00
  1.000E-01  1.834E+00
  1.200E-01  1.849E+00
  1.400E-01  1.864E+00
  1.600E-01  1.880E+00
  1.800E-01  1.895E+00
  2.000E-01  1.911E+00
  2.200E-01  1.928E+00
  2.400E-01  1.945E+00
  2.600E-01  1.963E+00
  2.800E-01  1.981E+00
  3.000E-01  1.999E+00
  3.200E-01  2.018E+00
  3.400E-01  2.037E+00
  3.600E-01  2.057E+00
  3.800E-01  2.077E+00
  4.000E-01  2.098E+00
  4.200E-01  2.119E+00
  4.400E-01  2.141E+00
  4.600E-01  2.164E+00
  4.800E-01  2.188E+00
  5.000E-01  2.213E+00
  5.200E-01  2.238E+00
  5.400E-01  2.263E+00
  5.600E-01  2.290E+00
  5.800E-01  2.318E+00
  6.000E-01  2.347E+00
  6.200E-01  2.378E+00
  6.400E-01  2.409E+00
  6.600E-01  2.441E+00
  6.800E-01  2.474E+00
  7.000E-01  2.508E+00
  7.200E-01  2.545E+00
  7.400E-01  2.584E+00
  7.600E-01  2.625E+00
  7.800E-01  2.668E+00
  8.000E-01  2.712E+00
  8.200E-01  2.758E+00
  8.400E-01  2.805E+00
  8.600E-01  2.856E+00
  8.800E-01  2.914E+00
  9.000E-01  2.976E+00
  9.200E-01  3.042E+00
  9.400E-01  3.112E+00
  9.600E-01  3.186E+00
  9.800E-01  3.269E+00
  1.000E+00  3.367E+00
